longDBName,shortDBName,an,title,abstract,publicationDate,contributors,docTypes,pubTypes,coverDate,peerReviewed,source,subjects,isiType,doids,isbns,issns,publisherLocations,identifiers,isOpenAccess,bookEdition,language,publisher,pageEnd,pageStart,pageCount,volume,issue,doi,notes,mid,degreeLevel,plink
MLA International Bibliography,mzh,2.02227E+11,Regional Language Variation in the German Curriculum,"German is a pluricentric language with many standard and nonstandard varieties. Students of German are usually unaware of its rich regional variation, and studies attribute this to limited resources and instructional time (van Kerckvoorde, 2012). The “DACH” model of teaching German, which includes linguistic and cultural elements from Germany (D), Austria (A), and Switzerland (CH), has constituted an effort to go somewhat beyond a model that exclusively teaches Standard German, from Germany. However, when not contextualized properly, DACH itself oversimplifies language variation, shifting the attention from one standard version of German to three. This article proposes that German's variation should be taught to students at all levels and may be considered in the framework of the ACTFL Guidelines and Standards. These strongly support learners' successful functioning in real‐world and authentic situations, including in dealing with varying dialects. This article will offer an overview of German language variation, it will outline how its integration is aligned with the ACTFL Guidelines (2012), and it will discuss some current instructional challenges. Finally, it will offer concrete examples for instructors by using existing sections from popular college German textbooks and by presenting several worksheets on dialect teaching for the novice, intermediate, and advanced levels.",20220901,"Pittman, Iulia",Journal Article,Journal Article,2022 Fall,TRUE,Die Unterrichtspraxis/Teaching German,teaching of language ; curriculum ; teaching approaches (language) ; German language teaching ; standard language ; linguistic variation ; regional differences,JOUR,,,1756-1221 ; 0042-062X,,,,,eng,American Association of Teachers of German,221,206,16,55,2,10.1111/tger.12210,,,,https://research.ebsco.com/linkprocessor/plink?id=a4264a31-5744-35e7-820d-ab62f74599d5
MLA International Bibliography,mzh,2013930185,Perceptions of National and Regional Standards of Addressing in Germany and Austria,,20110301,"Kretzenbacher, Heinz L.",Journal Article,Journal Article,2011 Mar,TRUE,Pragmatics: Quarterly Publication of the International Pragmatics Association,German language (New High) ; pragmatics ; dialectology ; address ; Austrian German dialect,JOUR,,,2406-4238 ; 1018-2101,,,,,eng,International Pragmatics Association (IPrA),83,69,15,21,1,10.1075/prag.21.1.04kre,,,,https://research.ebsco.com/linkprocessor/plink?id=ec6a3d50-831f-3f02-a12c-88a589c5a06f
MLA International Bibliography,mzh,2009931009,A Few Notes on Conversational Patterns in Germany and Austria,,20080101,"Grzega, Joachim",Journal Article,Journal Article,2008,TRUE,Journal for EuroLinguistiX,German language (New High) ; pragmatics ; speech acts ; Austrian German dialect,JOUR,,,2197-6929,,,,,eng,Katholische Universität Eichstätt,22,13,10,5,,,,,,https://research.ebsco.com/linkprocessor/plink?id=2450e2a6-35bb-35fd-bd4d-4ffd3c91237b
MLA International Bibliography,mzh,2005930642,"Americanisation and the Discourse of Guilt in Germany, 1945-1955",,20040101,"Kämper, Heidrun",Journal Article,Journal Article,2004,TRUE,Journal of Multilingual and Multicultural Development,German language (New High) ; lexicology ; word borrowing ; American English dialect (1945-1955) ; sociolinguistic approach,JOUR,,,1747-7557 ; 0143-4632,,,,,eng,Taylor & Francis,511,497,15,25,6-May,10.1080/01434630408668921,,,,https://research.ebsco.com/linkprocessor/plink?id=9b96e007-50ab-3849-9a8e-239dc6ead9a0
MLA International Bibliography,mzh,1991015864,Youth Language in the German Democratic Republic: Its Diversity and Distinctiveness,,19910101,"Salmons, Joe",Journal Article,Journal Article,1991,,American Journal of Germanic Linguistics and Literatures,German language (New High) ; lexicology ; slang ; East Germany ; social dialects ; stylistics,JOUR,,,1040-8207,,,,,eng,Society for Germanic Philology,30,1,30,3,1,10.1017/S1040820700000561,,,,https://research.ebsco.com/linkprocessor/plink?id=545e644f-c960-3e02-96c1-1c8069ec42d2
MLA International Bibliography,mzh,2.02121E+11,Learning Upper Sorbian: The Problems with Minority Language Education for Non-Native Pupils in the Upper Sorbian Grammar School in Bautzen/Budyšin,"This study examines the attitudes of German-speaking pupils towards Sorbian-language education and the problems these pupils indicate as an obstacle to becoming bilingual through educational settings. Based on the research carried out in the Upper Sorbian Grammar School in Bautzen/Budyšin (Germany) combining a statistical survey, in-depth interviews with pupils and participant observation of pupils language practices, this paper discusses the case study of a school with a three-type education programme of Upper Sorbian language: immersion, bilingual, and teaching it as a foreign language. The paper contributes to the discussion on the effectiveness of bilingual and foreign minority language learning in a situation of unequal bilingualism in a territory inhabited by a small minority language community. The text presents these problems from the German-speaking pupils’ viewpoint and concerns: the teaching methods and their effectiveness; possible language contacts as a factor of acquiring a minority language; attitudes of native pupils and teachers to learners; the ideology of language ownership and speakers legitimisation. These aspects are presented in the context of different types of minority language speakers: ‘learners’, ‘new speakers’ and ‘native speakers’ and is presented against the background of the discussion on minority language education in the process of Upper Sorbian language revitalisation.",20210401,"Dołowy-Rybińska, Nicole",Journal Article,Journal Article,2021 Apr,TRUE,International Journal of Bilingual Education and Bilingualism,Sorbian language ; Upper Sorbian dialect ; educational policy ; language revival ; bilingualism ; language attitudes ; German language (New High),JOUR,,,1747-7522 ; 1367-0050,,,,,eng,Taylor & Francis,514,500,15,24,4,10.1080/13670050.2018.1486803,,,,https://research.ebsco.com/linkprocessor/plink?id=ad68a81c-ad89-31af-867a-0439ef62d62b
MLA International Bibliography,mzh,2.02123E+11,The View from Within: Gendered Language Ideologies of Multilingual Speakers in Contemporary Berlin,"Drawing on interview data on Kiezdeutsch, we argue that a focus on gendered language ideologies is much needed to understand the social meanings ascribed to multiethnolectal practices. By attuning carefully to the nuanced, subjective ideological stances of young multilingual women, we show that at the interactional level, Kiezdeutsch is constructed as a consequence of the interviewees' multilingual practice and thus activates a sense of belonging and entitlement. At the macro level, however, the belonging to a multilingual speech community is tied up with the representation of a racialized and ethnicized ‘other’ in the mainstream, dominant public discourse prevalent in Germany. As young males are the more salient figure in the construction this racialized and ethnicized ‘other’, Kiezdeutsch then becomes indexed with masculinity—even within the peer group. Saying that Kiezdeutsch is used among friends thus presents only a partial picture on how, for girls and young women, using Kiezdeutsch becomes socially sanctioned both in the public sphere and in private settings.Anhand von Interviewdaten zu Kiezdeutsch zeigen wir, dass ein genauerer Blick auf der Gender‐Dimension von Sprachideologien dringend erforderlich ist, um die sozialen Bedeutungen zu verstehen, die mit multiethnolektalen Praktiken verbunden sind. Anhand der Analyse nuancierter, subjektiver Sprachideologien junger Frauen wird gezeigt, dass Kiezdeutsch auf der Interaktionsebene als Folge der mehrsprachigen Praxis der Befragten konstruiert wird und somit ein Gefühl der Zugehörigkeit und der Berechtigung entsteht. Auf der Makroebene ist die Zugehörigkeit zu einer mehrsprachigen Sprachgemeinschaft jedoch mit der Repräsentation eines rassifizierten und ethnisierten ‘Anderen’ im öffentlichen Mainstream‐Diskurs verknüpft. Da junge Männer in der Konstruktion dieses rassifizierten und ethnisierten ‘Anderen’ die hervorstechendste Figur sind, wird Kiezdeutsch mit Männlichkeit indiziert—und dies auch innerhalb der Peer‐Group. Die Annahme, dass Kiezdeutsch im Freundeskreis verwendet wird, gibt also nur ein unvollständiges Bild davon wieder, wie die Verwendung des Multiethnolekts für Mädchen und junge Frauen sowohl im öffentlichen als auch im privaten Bereich sozial sanktioniert wird.",20210601,"Truan, Naomi ; Oldani, Martina",Journal Article,Journal Article,2021 June,TRUE,Journal of Sociolinguistics,German language (New High) ; dialectology ; social dialects ; multilinguals ; gender,JOUR,,,1467-9841 ; 1360-6441,,,,,eng,Wiley-Blackwell,397,374,24,25,3,10.1111/josl.12471,,,,https://research.ebsco.com/linkprocessor/plink?id=4f481ef9-4a3b-379f-8dad-370f997c9903
MLA International Bibliography,mzh,1987011213,Dialects and the Teaching of a Standard Language: Some West German Work,"In applied sociolinguistics in West Germany the notion has been influential that the indigenous working class is separated from the middle class by a linguistic barrier and thus is at a linguistic disadvantage, as well as suffering other forms of disadvantage. The paper places this view in its context within German work on language and society, examines it critically, and outlines why, in the author's view, it is of questionable validity.",19870601,"Barbour, Stephen",Journal Article,Journal Article,1987 June,TRUE,Language in Society,German language (New High) ; dialectology ; social dialects ; working class,JOUR,,,0047-4045,,,,,eng,Cambridge University Press,244,227,18,16,2,10.1017/S0047404500012276,,,,https://research.ebsco.com/linkprocessor/plink?id=a53203ee-e0d3-3f7e-9128-12f4abdb87d4
MLA International Bibliography,mzh,2011041892,Os Grandes Pícaros nas Anécdotas e Modismos Alemáns e Arabes: Un Estudo Comparativo,,20080101,"Noueshi, Mona ; Veiga Novoa, Cristina",Journal Article,Journal Article,2008,TRUE,Cadernos de Fraseoloxía Galega,German literature ; Egyptian literature ; 1500-1999 ; fiction ; poetry ; German language (New High) ; lexicology ; phraseology ; proverb ; Egyptian Arabic dialect ; folk literature ; folk narrative ; anecdote ; Germany ; Egypt ; picaro,JOUR,,,1698-7861,,,,,glg,Centro Ramón Piñeiro para a Investigación en Humanidades (Xunta de Galicia),238,221,18,10,,,,,,https://research.ebsco.com/linkprocessor/plink?id=e4829479-7fb0-3fcf-8cbf-0f959e9c8042
MLA International Bibliography,mzh,2012933346,Applying Conceptual Metaphors and Blending Theory to Culture-Specific Speech Functions in Rap Lyrics,,20120101,"Schröder, Ulrike",Journal Article,Journal Article,2012,TRUE,"Text & Talk: An Interdisciplinary Journal of Language, Discourse & Communication Studies",Portuguese language ; Brazilian Portuguese dialect ; stylistics ; rhetoric ; metaphor ; rap song ; German language (New High) ; folk literature ; folk poetry ; folk song ; Brazil ; Germany ; political protest ; sociocognitive approach,JOUR,,,1860-7349 ; 1860-7330,,,,,eng,De Gruyter Mouton,233,211,23,32,2,10.1515/text-2012-0011,,,,https://research.ebsco.com/linkprocessor/plink?id=94439938-f727-3004-bebf-6687465ad6d4
MLA International Bibliography,mzh,2.02327E+11,Die Sprachinsel Gottschee/Kočevje in Slowenien: Die Gottscheer Sprachgemeinschaft einst und jetzt,"Gottschee/Kočevje is a former German-speaking region in Lower Carniola, a crownland of the Habsburg Empire, now in Slovenia. It was colonized by the Carinthian counts of Ortenburg in the 14th century with settlers from Carinthia and Tyrol. The original German settlers were speaking a Bavarian dialect that was influenced during the centuries by Slovenian dialects. The ethnolinguistic enclave is of special interest in terms of its size and population, its changing political affiliations, its resettlement in 1941/1942 in a nearby area of Slovenian settlers. At the end of the war, the Gottscheers were forced to flee to Austria. Some of the refugees eventually found new homes in Austria and Germany, however, most immigrated to the United States and Canada, where they had friends and relatives who had immigrated to those countries prior to World War II. Gottscheers have a special reference to their home in Gottschee. This paper attempts to give a rough overview of the current state of research on the history and fate of the Gottscheers and try to address the Gottscheer understanding of their history, the concept of “home-Heimat” and “being Gottscheer” among the descendants of the Gottscheers in the Gottschee and in the diaspora.",20220101,"Geyer, Ingeborg",Journal Article,Journal Article,2022,,Europäisches Journal für Minderheitenfragen/European Journal of Minority Studies,German language (New High) ; dialectology ; Slovenia ; Kočevje ; 1900-2099 ; minority language ; language policy ; language obsolescence ; diaspora,JOUR,,,1865-1097 ; 1865-1089,,,,,ger,Berliner Wissenschafts-Verlag (BMV),380,359,22,15,4-Mar,10.35998/ejm-2022-0016,,,,https://research.ebsco.com/linkprocessor/plink?id=c1292b04-bb9a-3ec7-925c-0a16b317ed0b
MLA International Bibliography,mzh,2013630049,Adopting a Pluricentric Approach,"This article argues for a 'D-A-CH' approach, which stands for Germany (D), Austria (A), and Switzerland (CH), in language classes from the introductory level on. I begin by tracing the emergence and development of distinct Standard Swiss and Austrian German varieties. I then discuss marketing efforts for Swiss and Austrian German, and finally address the need for an approach that is not limited to Germany, but one that includes Swiss and Austrian German language and culture. In order to deepen instructors' understanding of Swiss and Austrian varieties of German, I close with some suggestions for further reading and for designing instruction.",20120901,"Kerckvoorde, Colette van",Journal Article,Journal Article,2012 Fall,TRUE,Die Unterrichtspraxis/Teaching German,teaching of language ; teaching approaches ; United States ; Swiss German dialect ; Austrian German dialect ; German language teaching,JOUR,,,1756-1221 ; 0042-062X,,,,,eng,American Association of Teachers of German,184,176,9,45,2,10.1111/j.1756-1221.2012.00134.x,,,,https://research.ebsco.com/linkprocessor/plink?id=b04c204f-25ca-3168-8d4a-950f0953224d
MLA International Bibliography,mzh,2003900044,Die Entstehung des alpenländischen Mundartliedes nach 1800 als Spiegelbild einer neuen Wertschätzung des Dialekts,,20020101,"Holzapfel, Otto",Journal Article,Journal Article,2002,TRUE,Zeitschrift für Dialektologie und Linguistik,German language (New High) ; dialectology ; Alps ; 1800-1899 ; song ; folk literature ; folk poetry ; folk song ; Germany ; Switzerland ; Austria ; dialect,JOUR,,,0044-1449,,,,,ger,Franz Steiner Verlag,57,38,20,69,1,,,,,https://research.ebsco.com/linkprocessor/plink?id=4232db51-261f-3831-9eca-edfb89332b81
MLA International Bibliography,mzh,1999091479,Das mittelelbische Wörterbuch als Quelle für die Traditionsforschung: Auswertungsmöglichkeiten eines Mundartenwörterbuches,,19980101,"Kettmann, Gerhard",Journal Article,Journal Article,1998,TRUE,Zeitschrift für Deutsche Philologie,German language ; lexicology ; lexicography ; Central Elbe River Valley ; dialect dictionary ; folk rituals ; rites ; wedding rites ; Germany ; Elbe River ; folk belief systems ; linguistic approach,JOUR,,,1868-7806 ; 0044-2496,,,,,ger,Erich Schmidt Verlag,81,67,15,117,Supplement,,,,,https://research.ebsco.com/linkprocessor/plink?id=4433cece-dfe0-3d5e-b028-c9361c4d88a0
MLA International Bibliography,mzh,2003931404,Border-Region Danish,"The majority and a large part of the German national minority living in the Danish part of the Danish-German border region have Danish as their first language. In the German part of the region, the Danish national minority has Danish as its official language, although it is most members’ second language. To the German majority Danish is a foreign language. Border-region Danish includes a broad range of varieties, and studies from the last twenty-five years show that one of these varieties, the classical Sønderjysk dialect, is being replaced by regional Sønderjysk in the Danish majority, although it still has a high status within the German minority. South of the border the classical Sønderjysk dialect no longer has any function. The Danish minority has developed a regional minority language, South Schleswig Danish, which is characterized by German influence. However, it is not based on the dialect, but on standard Danish rigsmål. In the minority, this variety has high status outside the minority’s educational sphere. This article discusses the sociolinguistic and ethnolinguistic variables involved in this multidimensional pattern of border-region Danish.",20030201,"Pedersen, Karen Margrethe",Journal Article,Journal Article,2003 [Feb],TRUE,International Journal of the Sociology of Language,Danish language ; dialectology ; Sønderjylland ; Germany ; Schleswig region ; dialect boundary ; language shift ; standard language,JOUR,,,1613-3668 ; 0165-2516,,,,,eng,De Gruyter Mouton,138,127,12,159,,10.1515/ijsl.2003.002,,,,https://research.ebsco.com/linkprocessor/plink?id=a483abf7-cb39-34c4-b136-03c883ef688a
MLA International Bibliography,mzh,2014303078,Null Subjects in Swabian,"Few studies have investigated referential null subjects in present-day non-standard varieties of German. This paper explores the distribution of 4,000 null and overt referential subjects in finite clauses in a new corpus of spoken Swabian, a North Alemannic dialect spoken in Southwest Germany. The paper describes Swabian subject use as it emerges from the corpus data with regard to morphological form, syntactic distribution, reference and informational status. Swabian, unlike Standard German, allows and in some cases prefers clause-internal referential subjects to be null, whilst in other contexts, referential null subjects are ruled out. There is a robust second person null-subject property, with 61% of 2nd singular subject pronouns being dropped clause-internally, i.e. from a position following the finite verb in main clauses or following a complementiser in embedded clauses. 1st singular and 3rd singular neuter subjects are dropped clause-internally as well, but at much lower frequencies and only in very specific phonological and lexical constellations, not previously noted in the literature. The empirical findings are compared with an earlier unquantified study of Swabian (Haag-Merz 1996) and discussed in light of other work on present-day Germanic vernaculars and previous accounts of partial null subject languages.",20131201,"Bohnacker, Ute",Journal Article,Journal Article,2013 Dec,TRUE,Studia Linguistica: A Journal of General Linguistics,German language (New High) ; Swabian German dialect ; syntax ; subject ; null subject ; person ; number agreement ; grammatical gender ; pragmatics ; phonology,JOUR,,,1467-9582 ; 0039-3193,,,,,eng,Wiley-Blackwell,289,257,33,67,3,10.1111/stul.12014,,,,https://research.ebsco.com/linkprocessor/plink?id=84203966-5e1a-30fd-9820-689c91ba84f5
MLA International Bibliography,mzh,2017710488,Regional Variation in German Sign Language: The Role of Schools (Re-)Visited,"Regional dialects in many sign languages have traditionally been linked to schools for deaf students. Focusing on three such schools in Saxony (southeast Germany), our study for the first time examines whether this link is also evident in German Sign Language (Deutsche Gebärdensprache, DGS). We compare and contrast sign language data from deaf adults and children who used to attend or are still being educated in these schools, respectively. Our study shows that the effect size between choice of variant and school attended is notably weaker in the child language data than in the adult data. Considering social and policy changes in the educational landscape, our research raises the question of whether schools for deaf students still function as cradles of German Sign Language dialects.",20141201,"Eichmann, Hanna ; Rosenstock, Rachel",Journal Article,Journal Article,2014 Winter,TRUE,Sign Language Studies,German Sign language ; dialectology ; schools ; the deaf,JOUR,,,1533-6263 ; 0302-1475,,,,,eng,Gallaudet University Press,202,175,28,14,2,,,,,https://research.ebsco.com/linkprocessor/plink?id=754695df-ef53-3c61-8590-ea7a89e7f33e
MLA International Bibliography,mzh,1984048227,Überlegungen zur plattdeutschen Kulturszene aus systemtheoretischer Sicht: Bericht über eine empirische Untersuchung zum Dialekttheater in Ostwestfalen-Lippe,,19830101,"Wirrer, Jan",Journal Article,Journal Article,1983,TRUE,Niederdeutsches Jahrbuch: Jahrbuch des Vereins für Niederdeutsche Sprachforschung,German literature ; theater ; West Germany ; Ostwestfalen ; Lippe ; German language (Low) literature ; 1900-1999 ; dialect ; sociolinguistic approach ; systems theory ; German language (Low) ; stylistics ; regional dialect,JOUR,,,0083-5617,,,,,ger,Karl Wachholtz Verlag,142,119,24,106,,,,,,https://research.ebsco.com/linkprocessor/plink?id=371f064a-1df0-3b06-a57e-01c23a9971cb
MLA International Bibliography,mzh,1985057094,Zur Rezeption mittelniederländischer Literatur in Köln: Ein neues Bruchstück des 'Parthonopeus',,19850101,"Tervooren, Helmut",Journal Article,Journal Article,1985,FALSE,Rheinische Vierteljahrsblätter,Netherlandic literature ; 400-1499 Medieval period ; Parthonopeus van Bloys ; translation ; Ripuarian German dialect ; reception study ; reception ; West Germany ; Cologne ; German language (Middle High) ; phonology ; morphology ; manuscript study,JOUR,,,0035-4473,,,,,ger,"Rheinische Friedrich-Wilhelms-Universität Bonn, Institut für Geschichtswissenschaft",116,92,25,49,1,,,,,https://research.ebsco.com/linkprocessor/plink?id=e2c95c33-0fb9-389f-ae64-49bd72b22273
MLA International Bibliography,mzh,1982013316,Divided City-Divided Language? Some Notes on the Work of the Sociolinguistic Project on Berlin Urban Vernacular,,19820101,"Schlobinski, Peter",Journal Article,Journal Article,1982,,Sociolinguistics Newsletter,language ; sociolinguistics ; social dialects ; Germany ; Berlin ; urban dialect ; German language (New High),JOUR,,,,,,,,eng,"International Sociological Association, Research Committee on Sociolinguistics",15,13,3,13,2,,,,,https://research.ebsco.com/linkprocessor/plink?id=deb2484e-81b5-3e65-be69-6fdb5f1bca81
MLA International Bibliography,mzh,1988091651,Zur sprachlichen Situation im heutigen Rheinland,,19880101,"Macha, Jürgen",Journal Article,Journal Article,1988,,Kopenhagener Beiträge zur Germanistischen Linguistik,German language (New High) ; dialectology ; West Germany ; Rhineland ; Ripuarian German dialect ; German language (Low),JOUR,,,0105-0257,,,,,ger,Hans Reitzels Forlag,109,98,12,24,,,,,,https://research.ebsco.com/linkprocessor/plink?id=932d0753-5bfc-3f16-894f-b5675f4c20b2
MLA International Bibliography,mzh,1988090796,"Die Zurückdrängung des Ripuarischen, Niederdeutschen und Niederländischen durch das Hochdeutsche im Kölner Buchdruck nach 1500: Vortragsresümee",,19880901,"Beckers, Hartmut",Journal Article,Journal Article,1988 Sept.,FALSE,Korrespondenzblatt des Vereins für Niederdeutsche Sprachforschung,German language (New High) ; Ripuarian German dialect ; dialectology ; Germany ; Cologne ; German language (Middle Low) ; Dutch language (Middle) ; standard language (1475-1550),JOUR,,,0342-0752,,,,,ger,Karl Wachholtz Verlag,44,43,2,95,4-Mar,,,,,https://research.ebsco.com/linkprocessor/plink?id=46740f4a-ee76-3693-8ab0-6159d00ca001
MLA International Bibliography,mzh,1988090775,Zur mittelniederdeutschen Urkundensprache Attendorns: Variablenlinguistische Aspekte einer südwestfälischen Stadtsprache,,19880101,"Goebel, Werner ; Fedders, Wolfgang",Journal Article,Journal Article,1988,FALSE,Niederdeutsches Wort: Beiträge zur Niederdeutschen Philologie,German language (Middle Low) ; Westphalian German dialect ; dialectology ; Germany ; Attendorn ; linguistic variation,JOUR,,,0078-0545,,,,,ger,Aschendorff Verlag,141,107,35,28,,,,,,https://research.ebsco.com/linkprocessor/plink?id=b346b26f-6914-307f-a3b3-f0f0c003d4b7
MLA International Bibliography,mzh,1988090795,"Sprachwandel, Sprachgebrauchswandel, Sprachbewertungswandel: Aspekte der Kölner Stadtsprachengeschichte: Vortragsresümee",,19880901,"Hoffmann, Walter",Journal Article,Journal Article,1988 Sept.,FALSE,Korrespondenzblatt des Vereins für Niederdeutsche Sprachforschung,German language (New High) ; Ripuarian German dialect ; dialectology ; Germany ; Cologne ; 1400-1799 ; standard language,JOUR,,,0342-0752,,,,,ger,Karl Wachholtz Verlag,43,42,2,95,4-Mar,,,,,https://research.ebsco.com/linkprocessor/plink?id=48710db0-5b04-3e8b-8508-b5482a295c13
MLA International Bibliography,mzh,1987091512,Die Mundart von Kallmünz: Phonetisch-phonologische Untersuchung unter diachronem und synchronem Aspekt,,19870101,"Götz, Ursula",Journal Article,Journal Article,1987,TRUE,Sprachwissenschaft,German language (New High) ; Bavarian German dialect ; phonology ; phonetics ; West Germany ; Kallmünz ; diachronic approach,JOUR,,,0344-8169,,,,,ger,Universitätsverlag Winter,474,396,79,12,4-Mar,,,,,https://research.ebsco.com/linkprocessor/plink?id=87dce70e-ca07-34cf-ae66-65a0767037af
MLA International Bibliography,mzh,1987090987,Zur frühmittelniederdeutschen Urkundensprache Osnabrücks: Variablenlinguistische Untersuchung einer ostwestfälischen Stadtsprache,,19870101,"Weber, Ulrich",Journal Article,Journal Article,1987,FALSE,Niederdeutsches Wort: Beiträge zur Niederdeutschen Philologie,German language (Middle Low) ; Westphalian German dialect ; dialectology ; Germany ; Osnabrück ; linguistic variation (1331-1370),JOUR,,,0078-0545,,,,,ger,Aschendorff Verlag,162,131,32,27,,,,,,https://research.ebsco.com/linkprocessor/plink?id=798b698e-be8c-39d9-92c9-4c2227360005
MLA International Bibliography,mzh,0000113544,<i>Schrecke läuten</i>,,19250201,"Brooks, Neil C.",Journal Article,Journal Article,1925 Feb,,Modern Language Notes,German language (New High) ; Swabian German dialect ; lexicology ; phraseology ; folk rituals ; rites ; Germany ; Swabia ; bells,JOUR,,,0149-6611,,,,,eng,Johns Hopkins University Press,79,76,4,40,2,,,,,https://research.ebsco.com/linkprocessor/plink?id=c5bf8b4b-4333-3f84-8e88-444ba78b9c3c
MLA International Bibliography,mzh,1986090044,Zur Dialektographie Südniedersachsens,,19850101,"Wagener, Peter",Journal Article,Journal Article,1985,TRUE,Niederdeutsches Jahrbuch: Jahrbuch des Vereins für Niederdeutsche Sprachforschung,German language (Low) ; phonology ; West Germany ; Southern Lower Saxony ; dialect geography ; diachronic approach,JOUR,,,0083-5617,,,,,ger,Karl Wachholtz Verlag,163,147,17,108,,,,,,https://research.ebsco.com/linkprocessor/plink?id=ea33e641-08f8-3953-957c-031b150a8241
MLA International Bibliography,mzh,1985091356,Westfälische Stadtsprachenforschung,,19840101,"Menge, Heinz H.",Journal Article,Journal Article,1984,FALSE,Niederdeutsches Wort: Beiträge zur Niederdeutschen Philologie,German language (New High) ; dialectology ; West Germany ; Westfalen ; urban dialect,JOUR,,,0078-0545,,,,,ger,Aschendorff Verlag,150,129,22,24,,,,,,https://research.ebsco.com/linkprocessor/plink?id=0e589c01-d283-39a8-8f47-dd034df52256
MLA International Bibliography,mzh,1981003258,Zum Konjunktiv im Verbsystem der Mundart von Greffen,,19810101,"Winge, Ruth A.",Journal Article,Journal Article,1981,FALSE,Niederdeutsches Wort: Beiträge zur Niederdeutschen Philologie,German language (Low) ; Low Saxon dialect ; dialectology ; syntax ; West Germany ; Westphalia ; Greffen ; subjunctive mood,JOUR,,,0078-0545,,,,,ger,Aschendorff Verlag,76,61,16,21,,,,,,https://research.ebsco.com/linkprocessor/plink?id=3bd01a7e-5e99-30be-981c-0536af15cdce
MLA International Bibliography,mzh,1981002496,Aspekte der Lautgeographie des Altkreises Soest,,19810101,"Pilkmann, Reinhard",Journal Article,Journal Article,1981,FALSE,Korrespondenzblatt des Vereins für Niederdeutsche Sprachforschung,German language ; Westphalian dialect ; dialectology ; phonology ; West Germany ; Soest,JOUR,,,0342-0752,,,,,ger,Karl Wachholtz Verlag,37,36,2,88,3-Feb,,,,,https://research.ebsco.com/linkprocessor/plink?id=a4297d94-39bd-36b4-bef1-7ba51d20dc8c
MLA International Bibliography,mzh,1990094997,Charakteristika des Generationssoziolekts der Jugendlichen in der DDR,,19830101,"Funke, Wolfgang",Journal Article,Journal Article,1983,FALSE,Kwartalnik Neofilologiczny,German language (New High) ; East Germany ; social dialects ; adolescents,JOUR,,,0023-5911,,,,,ger,Polska Akademia Nauk (PAN),91,79,13,29,2-Jan,,,,,https://research.ebsco.com/linkprocessor/plink?id=84e60986-b38d-3231-8d9b-140d601d2ed0
MLA International Bibliography,mzh,1987090319,Berlinisches in der Umgangssprache der DDR,,19870701,"Schönfeld, Helmut",Journal Article,Journal Article,1987 July,,Sprachpflege: Zeitschrift für Gutes Deutsch,German language (New High) ; lexicology ; dialectology ; East Germany ; Mark Brandenburg ; dialect ; Berlin ; diachronic approach,JOUR,,,0049-2019,,,,,ger,Adler's Foreign Books,97,93,5,36,7,,,,,https://research.ebsco.com/linkprocessor/plink?id=fadfe7ff-2418-3248-9992-c4fa2949d20d
MLA International Bibliography,mzh,2.02121E+11,Investigating Non-Linear Trends in Questionnaire Studies Using Contrastive Bipolar Scales,"The following study provides evidence that the use of a high number of test items in a subjective rating task with a bipolar scale does not affect the outcome detrimentally, a question hitherto unexplored in quantitative linguistics. By ‘contrastive bipolar scale’ we have in mind a scale with two different, explicit ‘options’ (here words), one at each end. We analyse a large-scale rating study consisting of nearly 1,000 participants and almost 700 pairs of word items per participant. A pair consisted of two synonymous words from a non-standard Silesian variety, one of German origin (a loan), one from the Polish Standard language. The judgement to be given was an estimation of the subjective frequency of the use of the German loan in comparison to its Polish equivalent in colloquial Silesian speech. We use non-linear regression analysis, GAMM, to examine if the presentation order of words affects the mean ratings. Findings show that results are not affected by either the high number of test items or the order of the presentation of word items.",20210101,"Fekete, István ; Hentschel, Gerd",Journal Article,Journal Article,2021 Jan,TRUE,Journal of Quantitative Linguistics,Polish language ; Silesian Polish dialect ; lexicology ; word borrowing ; German language (New High) ; questionnaires ; word choice ; word frequency ; regression analysis,JOUR,,,1744-5035 ; 0929-6174,,,,,eng,Taylor & Francis,38,20,19,28,1,10.1080/09296174.2019.1617091,,,,https://research.ebsco.com/linkprocessor/plink?id=62fa4165-244b-3a5d-b0b4-093c8326cf27
MLA International Bibliography,mzh,2017931248,Take Up #9 as a Semantic Isogloss on the Canada-US Border,"This paper explores semantic isoglosses of polysemous words, an understudied aspect of the Canada-US border by drawing on take up #9, an isogloss that appears to be spreading through the mainland Canadian population. The variable, which is approached from a philological-lexicographic as well as a quantitative-statistical perspective, is interpreted in the light of recent European cross-borders studies. Analogues with the situations in Austrian German (Austria-Germany) and British English (Scotland-England) are drawn. Set in a pluricentric framework, this paper argues that the Canada-US border remains a productive linguistic divide. Moreover, it is suggested that types of unexplored lexico-semantic variables may be responsible for some identity work across this international border, one of only two contiguous borders among the Englishes of the Inner Circle.",20170301,"Dollinger, Stefan",Journal Article,Journal Article,2017 Mar,TRUE,World Englishes: Journal of English as an International and Intranational Language,English language (Modern) ; Canadian English dialect ; semantics ; dialectology ; isogloss ; American English dialect,JOUR,,,1467-971X ; 0883-2919,,,,,eng,Wiley-Blackwell,103,80,24,36,1,10.1111/weng.12212,,,,https://research.ebsco.com/linkprocessor/plink?id=620a1958-92f0-3d9c-b3e4-13088c6b8b6a
